ecosystem,country,criterion_A1,criterion_A2b,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C2a,criterion_C2b,criterion_D1,criterion_D2b,criterion_D3
Tropical Dry Forest & Woodland,Ecuador,EN,DD,EN,EN,CR,LC,DD,DD,VU,LC,LC
Tropical Dry Forest & Woodland,Bolivia,NT,VU,VU,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Argentina,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Honduras,LC,EN,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Guatemala,LC,CR,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Mexico,VU,EN,VU,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Belize,LC,VU,LC,VU,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,El Salvador,DD,LC,EN,LC,LC,LC,DD,NE,LC,EN,LC
Tropical Lowland Humid Forest,Panama,LC,VU,LC,LC,LC,LC,DD,DD,LC,NT,LC
Tropical Lowland Humid Forest,Nicaragua,LC,CR,LC,LC,LC,LC,DD,NE,VU,NT,VU
Tropical Lowland Humid Forest,Costa Rica,VU,LC,VU,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Lowland Humid Forest,Colombia,VU,LC,VU,EN,VU,LC,DD,DD,VU,LC,VU
Tropical Lowland Humid Forest,Venezuela,NT,LC,NT,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Colombia,EN,LC,CR,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Lowland Humid Forest,Colombia,EN,VU,EN,LC,LC,LC,DD,NE,VU,VU,LC
Tropical Lowland Humid Forest,Venezuela,VU,LC,EN,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Ecuador,VU,EN,VU,VU,LC,LC,LC,NE,VU,LC,LC
Tropical Lowland Humid Forest,Panama,LC,LC,LC,LC,LC,LC,NT,NE,VU,LC,LC
Tropical Lowland Humid Forest,Colombia,VU,LC,EN,LC,LC,LC,NT,NE,VU,LC,LC
Tropical Lowland Humid Forest,Peru,DD,NT,DD,LC,NT,LC,DD,NE,DD,EN,DD
Tropical Lowland Humid Forest,Colombia,DD,EN,CR,EN,VU,LC,DD,NE,DD,LC,DD
Tropical Lowland Humid Forest,Ecuador,EN,CR,EN,LC,LC,LC,DD,NE,VU,LC,LC
