ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Tropical Lowland Humid Forest,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Guadeloupe,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Lowland Humid Forest,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Lowland Humid Forest,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Lowland Humid Forest,Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Lowland Humid Forest,Antigua and Barbuda,NA,NA,NA,NA,0.25,1,NA,NA,0.5,1
Tropical Lowland Humid Forest,Cuba,NA,NA,NA,NA,0.2,1,NA,NA,0.313,1
Tropical Lowland Humid Forest,Puerto Rico,NA,NA,NA,NA,0.069,1,NA,NA,0.315,1
Tropical Lowland Humid Forest,Dominican Republic,NA,NA,NA,NA,0.194,1,NA,NA,0.312,1
Tropical Lowland Humid Forest,Dominica,NA,NA,NA,NA,0,1,NA,NA,0.191,1
Tropical Dry Forest & Woodland,Guadeloupe,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Haiti,NA,NA,NA,NA,0,1,NA,NA,0.3,1
Tropical Dry Forest & Woodland,Jamaica,NA,NA,NA,NA,0.021,1,NA,NA,0.243,1
Tropical Dry Forest & Woodland,Martinique,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Puerto Rico,NA,NA,NA,NA,0.054,1,NA,NA,0.379,1
Tropical Dry Forest & Woodland,Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Dry Forest & Woodland,Trinidad and Tobago,NA,NA,NA,NA,0.17,1,NA,NA,0.75,1
Tropical Dry Forest & Woodland,Dominican Republic,NA,NA,NA,NA,0.249,1,NA,NA,0.384,1
Tropical Dry Forest & Woodland,Dominica,NA,NA,NA,NA,0,1,NA,NA,0.055,1
Tropical Dry Forest & Woodland,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Cuba,NA,NA,NA,NA,0.161,1,NA,NA,0.217,1
Tropical Dry Forest & Woodland,Bahamas,NA,NA,NA,NA,0.141,1,NA,NA,0.232,1
Tropical Dry Forest & Woodland,Guatemala,NA,NA,NA,NA,0.337,1,0.351,1,0.367,1
Tropical Dry Forest & Woodland,Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Mexico,NA,NA,NA,NA,0.214,1,0.349,1,0.225,1
Tropical Dry Forest & Woodland,Nicaragua,NA,NA,NA,NA,0.276,1,0.558,1,0.407,1
Tropical Dry Forest & Woodland,Honduras,NA,NA,NA,NA,0.171,1,0.501,1,0.255,1
Tropical Dry Forest & Woodland,Jamaica,NA,NA,NA,NA,0,1,NA,NA,0.25,1
Tropical Dry Forest & Woodland,Costa Rica,NA,NA,NA,NA,0.292,1,0.575,1,0.504,1
Tropical Dry Forest & Woodland,Cuba,NA,NA,NA,NA,0.144,1,NA,NA,0.247,1
Tropical Dry Forest & Woodland,Panama,NA,NA,NA,NA,0.218,1,0.195,1,0.348,1
Tropical Dry Forest & Woodland,Belize,NA,NA,NA,NA,0.26,1,0.177,1,0.303,1
Tropical Dry Forest & Woodland,Puerto Rico,NA,NA,NA,NA,0.25,1,NA,NA,0.5,1
Tropical Dry Forest & Woodland,Turks and Caicas Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,El Salvador,NA,NA,NA,NA,0.134,1,0.784,1,0.092,1
Tropical Dry Forest & Woodland,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Canada,NA,NA,NA,NA,0.089,1,NA,NA,0.09,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,United States,NA,NA,NA,NA,0.063,1,NA,NA,0.126,1
Cool Temperate Forest,United States,NA,NA,NA,NA,0.048,1,NA,NA,0.109,1
Cool Temperate Forest,Canada,NA,NA,NA,NA,0.121,1,NA,NA,0.128,1
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Temperate Forest,Canada,0.011,1,NA,NA,0.222,1,NA,NA,0.485,1
Cool Temperate Forest,United States,0.634,1,NA,NA,0.055,1,NA,NA,0.532,1
Temperate Flooded & Swamp Forest,Canada,NA,NA,NA,NA,0.009,1,NA,NA,0.159,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,0.24,1,0.015,1,NA,NA,0.527,1
Temperate Flooded & Swamp Forest,Canada,NA,NA,NA,NA,0.047,1,NA,NA,0.369,1
Temperate Flooded & Swamp Forest,United States,NA,NA,0.205,1,0.035,1,NA,NA,0.399,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Nicaragua,NA,NA,NA,NA,0.5,1,0.797,1,0.5,1
Tropical Dry Forest & Woodland,Honduras,NA,NA,NA,NA,0.228,1,0.771,1,0.328,1
Tropical Dry Forest & Woodland,Guatemala,NA,NA,NA,NA,NA,NA,0.814,1,NA,NA
